OPR	OPRNAVN
KNCF19	Synovectomia partialis art. cubiti uden specifikation
KNCF21	Operatio pro osteochondritide, art. cubiti, artroskopisk
KNCF22	Operatio pro osteochondritide, art. cubiti, åben
KNCF29	Op. pro osteochondritide, art. cubiti uden specifikation
KNCF31	Chondrectomia articuli partialis cubiti, artroskopisk
KNCF32	Chondrectomia articuli partialis cubiti, åben
KNCF39	Chondrectomia articuli partialis cubiti uden specifikation
KNCF91	Op. på synovia og brusk i albueleddet, artroskopisk, anden
KNCF92	Operation på synovia og brusk i albueleddet, åben, anden
KNCF99	Op. på synovia og brusk i albue uden specifikation, anden
KNCG	Ledresektion, artroplastikker og artrodese i albueleddet
KNCG09	Resectio articuli cubiti/resektionsartroplastik i albueled
KNCG19	Interpositionsartroplastik i albueleddet
KNCG29	Artroplastik uden proteseimplantation i albueleddet, anden
KNCG39	Artrodesis art. cubiti uden fiksationsmateriale
KNCG49	Artrodesis art. cubiti m. intern fiksation
KNCG59	Artrodesis art. cubiti m. ekstern fiksation
KNCH	Andre albueledsoperationer
KNCH00	Reposition af albueleddet, perkutan
KNCH01	Reposition af albueleddet, artroskopisk
KNCH02	Reposition af albueleddet, åben
KNCH09	Reposition af albueleddet uden specifikation
KNCH20	Reposition af luxeret albueprotese, perkutan
KNCH21	Reposition af luxeret albueprotese, artroskopisk
KNCH22	Reposition af luxeret albueprotese, åben
KNCH29	Reposition af luxeret albueprotese uden specifikation
KNCH30	Lysis adhaesiones articuli cubiti, perkutan
KNCH31	Lysis adhaesiones articuli cubiti, artroskopisk
KNCH32	Lysis adhaesiones articuli cubiti, åben
KNCH39	Lysis adhaesiones articuli cubiti uden specifikation
KNCH40	Amotio corporis libera s. alieni art. cubiti, perkutan
KNCH41	Amotio corporis libera s. alieni art. cubiti, artroskopisk
KNCH42	Amotio corporis libera s. alieni art. cubiti, åben
KNCH49	Amotio corporis libera s. alieni art. cubiti u specifikatio
KNCH50	Abrasio/resectio exostosis ossis, art. cubiti, perkutan
KNCH50A	Abrasio ossis exostosis ossis, art. cubiti, perkutan
KNCH50B	Resectio exostosis ossis, art. cubiti, perkutan
KNCH51	Abrasio/resectio exostosis ossis, art. cubiti, artroskopisk
KNCH51A	Abrasio ossis exostosis ossis, art. cubiti, artroskopisk
KNCH51B	Resectio exostosis ossis, art. cubiti, artroskopisk
KNCH52	Abrasio/resectio exostosis ossis, art. cubiti, åben
KNCH52A	Abrasio ossis exostosis ossis, art. cubiti, åben
KNCH52B	Resectio exostosis ossis, art. cubiti, åben
KNCH59	Abrasio/resectio exostosis ossis, art. cubiti u spec
KNCH59A	Abrasio ossis exostosis ossis, art. cubiti uden spec
KNCH59B	Resectio exostosis ossis, art. cubiti uden specifikation
KNCH70	Operatio pro luxatione habitualis articuli cubiti, perkutan
KNCH71	Op. pro luxatione habitualis articuli cubiti, artroskopisk
KNCH72	Operatio pro luxatione habitualis articuli cubiti, åben
KNCH79	Op. pro luxatione habitualis articuli cubiti u spec
KNCH90	Operationes art. cubiti aliae sive non specificata, perkuta
KNCH91	Operationes art. cubiti aliae sive non spec, artroskopisk
KNCH92	Operationes art. cubiti aliae sive non specificata, åben
KNCH99	Operationes art. cubiti aliae sive non specificata uden spe
KNCJ	Frakturbehandling, albueled og underarm
KNCJ00	Frakturreposition, pars proximalis ulnae, lukket
KNCJ01	Frakturreposition, corpus ulnae, lukket
KNCJ02	Frakturreposition, pars distalis ulnae, lukket
KNCJ03	Frakturreposition, pars proximalis radii, lukket
KNCJ04	Frakturreposition, corpus radii, lukket
KNCJ05	Frakturreposition, pars distalis radii, lukket
KNCJ06	Frakturreposition, corpus ulnae et radii, lukket
KNCJ07	Frakturreposition, pars distalis ulnae et radii, lukket
KNCJ08	Frakturreposition, lukket, anden, albue og underarm
KNCJ09	Frakturreposition, lukket, albue og underarm uspec.
KNCJ10	Frakturreposition, pars proximalis ulnae, åben
KNCJ11	Frakturreposition, corpus ulnae, åben
KNCJ12	Frakturreposition, pars distalis ulnae, åben
KNCJ13	Frakturreposition, pars proximalis radii, åben
KNCJ14	Frakturreposition, corpus radii, åben
KNCJ15	Frakturreposition, pars distalis radii, åben
KNCJ16	Frakturreposition, corpus ulnae et radii, åben
KNCJ17	Frakturreposition, pars distalis ulnae et radii, åben
KNCJ18	Frakturrepositionved fraktur i albue og underarm, åben
KNCJ20	Ekstern fiksation af fraktur, pars proximalis ulnae
KNCJ21	Ekstern fiksation af fraktur, corpus ulnae
KNCJ22	Ekstern fiksation af fraktur, pars distalis ulnae
KNCJ23	Ekstern fiksation af fraktur, pars proximalis radii
KNCJ24	Ekstern fiksation af fraktur, corpus radii
KNCJ25	Ekstern fiksation af fraktur, pars distalis radii
KNCJ26	Ekstern fiksation af fraktur, corpus ulnae et radii
KNCJ27	Ekstern fiksation af fraktur, pars distalis ulnae et radii
KNCJ28	Ekstern fiksation af fraktur, albue og underarm
KNCJ30	Intern fiks. af fraktur, pars prox ulnae med bioimplantater
KNCJ31	Intern fiksation af fraktur, corpus ulnae med bioimplantate
KNCJ32	Intern fiks. af fraktur, pars dist ulnae med bioimplantater
KNCJ33	Intern fiks. af fraktur, pars prox. radii med bioimplantate
KNCJ34	Intern fiksation af fraktur, corpus radii med bioimplantate
KNCJ35	Intern fiks. af fraktur, pars dist. radii m bioimplantater
KNCJ36	Intern fiksation af fraktur, corp ulnae et radii m bioimpl.
KNCJ37	Intern fiks af fraktur, pars dist uln et radii m bioimplant
KNCJ38	Intern fiksation af fraktur, albue/underarm m bioimplantate
KNCJ40	Intern fiks. af frakt, pars prox ulnae, tråde, stave, cercl
KNCJ41	Intern fiks. af fraktur, corpus ulnae, tråde, stave, cercl.
KNCJ42	Int. fiks. af frakt, pars dist ulnae, tråde, stave, cerclag
KNCJ43	Intern fiksation af fraktur, pars proximalis radii
KNCJ44	Intern fiksation af fraktur, corpus radii, tråde, stave
KNCJ45	Int. fiks. af frakt, pars dist radii, tråde, stave, cerclag
KNCJ46	Int. fiks. af frakt, corp uln. et rad, tråde, stave, cercl.
KNCJ47	Intern fiks. af frakt, pars dist uln et radii, tråde, stave
KNCJ48	Intern fiks. af fraktur, albue/underarm m tråde, stave, m.v
KNCJ50	Intern fiksation af fraktur, pars proximalis ulnae, marvsøm
KNCJ51	Intern fiksation af fraktur, corpus ulnae med marvsøm
KNCJ52	Intern fiksation af fraktur, pars distalis ulnae med marvsø
KNCJ53	Intern fiksation af fraktur, pars proximalis radii m marvsø
KNCJ54	Intern fiksation af fraktur, corpus radii med marvsøm
KNCJ55	Intern fiksation af fraktur, pars distalis radii med marvsø
KNCJ56	Intern fiksation af fraktur, corpus ulnae et radii m marvsø
KNCJ57	Intern fiks. af fraktur, pars dist ulnae et radii, marvsøm
KNCJ58	Intern fiksation af fraktur, albue og underarm med marvsøm
KNCJ60	Intern fiks. af fraktur, pars prox ulnae, skinner og plader
KNCJ61	Intern fiksation af fraktur, corpus ulnae, skinner og plade
KNCJ62	Intern fiks. af fraktur, pars dist ulnae, skinner og plader
KNCJ63	Intern fiks. af fraktur, pars prox. radii, skinner og plade
KNCJ64	Intern fiksation af fraktur, corpus radii, skinner og plade
KNCJ65	Intern fiks. af fraktur, pars dist. radii, skinner og plade
KNCJ66	Intern fiks. af fraktur, corp ulnae et radii, skinner/plade
KNCJ67	Intern fiks af frakt, pars dist uln et radii, skinner plade
KNCJ68	Intern fiks. af fraktur, albue/underarm, skinner og plader
KNCJ70	Intern fiksation af fraktur, pars proximalis ulnae m skruer
KNCJ71	Intern fiksation af fraktur, corpus ulnae med skruer alene
KNCJ72	Intern fiksation af fraktur, pars distalis ulnae med skruer
KNCJ73	Intern fiksation af fraktur, pars proximalis radii m skruer
KNCJ74	Intern fiksation af fraktur, corpus radii med skruer alene
KNCJ75	Intern fiksation af fraktur, pars distalis radii med skruer
KNCJ76	Intern fiksation af fraktur, corpus ulnae et radii, skruer
KNCJ77	Intern fiks. af frakt, pars dist ulnae et radii med skruer
KNCJ78	Intern fiksation af fraktur, albue/underarm med skruer alen
KNCJ80	Intern fiksation af fraktur, pars prox. ulnae, andre metode
KNCJ81	Intern fiksation af fraktur, corp ulnae med andre metoder
KNCJ82	Intern fiksation af fraktur, pars dist ulnae, andre metoder
KNCJ83	Intern fiksation af fraktur, pars prox. radii, andre metode
KNCJ84	Intern fiksation af fraktur, corpus radii, andre metoder
KNCJ85	Intern fiksation af fraktur, pars dist. radii, andre metode
KNCJ86	Intern fiks. af fraktur, corp ulnae et radii, andre metoder
KNCJ87	Intern fiks. af frakt, pars dist uln et radii, andre metode
KNCJ88	Intern fiks. af fraktur, albue/underarm, kombinerede metode
KNCJ90	Frakturbehandling, pars proximalis ulnae, anden
KNCJ91	Frakturbehandling, corpus ulnae, anden
KNCJ92	Frakturbehandling, pars distalis ulnae, anden
KNCJ93	Frakturbehandling, pars proximalis radii, anden
KNCJ94	Frakturbehandling, corpus radii, anden
KNCJ95	Frakturbehandling, pars distalis radii, anden
KNCJ96	Frakturbehandling, corpus ulnae et radii, anden
KNCJ97	Frakturbehandling, pars distalis ulnae et radii, anden
KNCJ98	Frakturbehandling, albue og underarm, anden
KNCK	Knogleoperationer, albue og underarm
KNCK00	Excisio sequestris s. fragmentis ossis, pars prox. ulnae
KNCK01	Excisio sequestris s. fragmentis ossis, corpus ulnae
KNCK02	Excisio sequestris s. fragmentis ossis, pars distalis ulnae
KNCK03	Excisio sequestris s. fragmentis ossis, pars prox. radii
KNCK04	Excisio sequestris s. fragmentis ossis, corpus radii
KNCK05	Excisio sequestris s. fragmentis ossis, pars distalis radii
KNCK06	Excisio sequestris s. fragmentis ossis, corp. ulnae et radi
KNCK07	Excisio sequestris s. fragm. oss, pars dist. ulnae et radii
KNCK10	Excisio exostosis ossis/resectio ossis pars proximalis ulna
KNCK10A	Excisio exostosis ossis, pars proximalis ulnae
KNCK10B	Excisio s. resectio ossis partialis, pars proximalis ulnae
KNCK10C	Excisio s. resectio ossis totalis, pars proximalis ulnae
KNCK11	Excisio exostosis ossis/resectio ossis, corpus ulnae
KNCK11A	Excisio exostosis ossis, corpus ulnae
KNCK11B	Excisio s. resectio ossis partialis, corpus ulnae
KNCK11C	Excisio s. resectio ossis totalis, corpus ulnae
KNCK12	Excisio exostosis ossis/resectio ossis pars distalis ulnae
KNCK12A	Excisio exostosis ossis, pars distalis ulnae
KNCK12B	Excisio s. resectio ossis partialis, pars distalis ulnae
KNCK12C	Excisio s. resectio ossis totalis, pars distalis ulnae
KNCK13	Excisio exostosis ossis/resectio ossis, pars prox. radii
KNCK13A	Excisio exostosis ossis, pars proximalis radii
KNCK13B	Excisio s. resectio ossis partialis, pars proximalis radii
KNCK13C	Excisio s. resectio ossis totalis, pars proximalis radii
KNCK14	Excisio exostosis ossis/resectio ossis, corpus radii
KNCK14A	Excisio exostosis ossis, corpus radii
KNCK14B	Excisio s. resectio ossis partialis, corpus radii
KNCK14C	Excisio s. resectio ossis totalis, corpus radii
KNCK15	Excisio exostosis ossis/resectio ossis pars distalis radii
KNCK15A	Excisio exostosis ossis, pars distalis radii
KNCK15B	Excisio s. resectio ossis partialis, pars distalis radii
KNCK15C	Excisio s. resectio ossis totalis, pars distalis radii
KNCK16	Excisio exostosis ossis/resectio ossis, corp. ulnae et radi
KNCK16A	Excisio exostosis ossis, corpus ulnae et radii
KNCK16B	Excisio s. resectio ossis partialis, corpus ulnae et radii
KNCK16C	Excisio s. resectio ossis totalis, corpus ulnae et radii
KNCK17	Excisio exost. oss./resectio oss, pars dist. ulnae et radii
KNCK17A	Excisio exostosis ossis, pars distalis ulnae et radii
KNCK17B	Excisio s. resectio ossis part, pars dist. ulnae et radii
KNCK17C	Excisio s. resectio ossis totalis, pars dist. ulnae et radi
KNCK18	Excisio s. resectio ossis antebrachii, anden
KNCK20	Fenestratio s. inforatio ossis, pars proximalis ulnae
KNCK21	Fenestratio s. inforatio ossis, corpus ulnae
KNCK22	Fenestratio s. inforatio ossis, pars distalis ulnae
KNCK23	Fenestratio s. inforatio ossis, pars proximalis radii
KNCK24	Fenestratio s. inforatio ossis, corpus radii
KNCK25	Fenestratio s. inforatio ossis, pars distalis radii
KNCK26	Fenestratio s. inforatio ossis, corpus ulnae et radii
KNCK27	Fenestratio s. inforatio ossis, pars distalis ulnae et radi
KNCK30	Excochleatio (curettage) cystis ossis, pars proximalis ulna
KNCK31	Excochleatio (curettage) cystis ossis, corpus ulnae
KNCK32	Excochleatio (curettage) cystis ossis, pars distalis ulnae
KNCK33	Excochleatio (curettage) cystis ossis, pars proximalis radi
KNCK34	Excochleatio (curettage) cystis ossis, corpus radii
KNCK35	Excochleatio (curettage) cystis ossis, pars distalis radii
KNCK36	Excochleatio (curettage) cystis ossis, corpus ulnae et radi
KNCK37	Excochleatio cystis ossis, pars dist. ulnae et radii
KNCK40	Epiphysiodesis ossis, pars proximalis ulnae
KNCK41	Epiphysiodesis ossis, corpus ulnae
KNCK42	Epiphysiodesis ossis, pars distalis ulnae
KNCK43	Epiphysiodesis ossis, pars proximalis radii
KNCK44	Epiphysiodesis ossis, corpus radii
KNCK45	Epiphysiodesis ossis, pars distalis radii
KNCK46	Epiphysiodesis ossis, corpus ulnae et radii
KNCK47	Epiphysiodesis ossis, pars distalis ulnae et radii
KNCK50	Osteotomia ossis antebrachii, pars proximalis ulnae
KNCK51	Osteotomia ossis antebrachii, corpus ulnae
KNCK52	Osteotomia ossis antebrachii, pars distalis ulnae
KNCK53	Osteotomia ossis antebrachii, pars proximalis radii
KNCK54	Osteotomia ossis antebrachii, corpus radii
KNCK55	Osteotomia ossis antebrachii, pars distalis radii
KNCK56	Osteotomia ossis antebrachii, corpus ulnae et radii
KNCK57	Osteotomia ossis antebrachii, pars distalis ulnae et radii
KNCK60	Osteotomia ossis pro elongat/abbrev ossis, pars prox. ulnae
KNCK60A	Osteotomia ossis pro elongatione ossis, pars prox. ulnae
KNCK60B	Osteotomia ossis pro abbreviatio ossis, pars prox. ulnae
KNCK61	Osteotomia ossis pro elongatione/abbrev. ossis, corpus ulna
KNCK61A	Osteotomia ossis pro elongatione ossis, corpus ulnae
KNCK61B	Osteotomia ossis pro abbreviatio ossis, corpus ulnae
KNCK62	Osteotomia ossis pro elongat/abbrev ossis, pars dist. ulnae
KNCK62A	Osteotomia ossis pro elongatione ossis, pars distalis ulnae
KNCK62B	Osteotomia ossis pro abbreviatio ossis, pars distalis ulnae
KNCK63	Osteotomia ossis pro elongat/abbrev ossis, pars prox. radii
KNCK63A	Osteotomia ossis pro elongatione ossis, pars prox. radii
KNCK63B	Osteotomia ossis pro abbreviatio ossis, pars prox. radii
KNCK64	Osteotomia ossis pro elongatione/abbrev. ossis, corpus radi
KNCK64A	Osteotomia ossis pro elongatione ossis, corpus radii
KNCK64B	Osteotomia ossis pro abbreviatio ossis, corpus radii
KNCK65	Osteotomia ossis pro elongat/abbrev ossis, pars dist. radii
KNCK65A	Osteotomia ossis pro elongatione ossis, pars distalis radii
KNCK65B	Osteotomia ossis pro abbreviatio ossis, pars distalis radii
KNCK66	Osteotomia ossis pro elongat/abbrev. ossis, ulnae et radii
KNCK66A	Osteotomia ossis pro elongatione ossis, corp. ulnae et radi
KNCK66B	Osteotomia ossis pro abbreviatio ossis, corp. ulnae et radi
KNCK67	Osteotomia ossis pro elongat/abbrev ossis, dist uln et radi
KNCK67A	Osteotomia ossis pro elongat ossis, pars dist ulnae et radi
KNCK67B	Osteotomia ossis pro abbrev. ossis, pars dist ulnae et radi
KNCK70	Operation m.h.p. bonetransport, pars proximalis ulnae
KNCK71	Operation m.h.p. bonetransport, corpus ulnae
KNCK72	Operation m.h.p. bonetransport, pars distalis ulnae
KNCK73	Operation m.h.p. bonetransport, pars proximalis radii
KNCK74	Operation m.h.p. bonetransport, corpus radii
KNCK75	Operation m.h.p. bonetransport, pars distalis radii
KNCK76	Operation m.h.p. bonetransport, corpus ulnae et radii
KNCK77	Operation m.h.p. bonetransport, pars distalis ulnae et radi
KNCK80	Operation m.h.p. tractio epiphyfysis, pars proximalis ulnae
KNCK81	Operation m.h.p. tractio epiphyfysis, corpus ulnae
KNCK82	Operation m.h.p. tractio epiphyfysis, pars distalis ulnae
KNCK83	Operation m.h.p. tractio epiphyfysis, pars proximalis radii
KNCK84	Operation m.h.p. tractio epiphyfysis, corpus radii
KNCK85	Operation m.h.p. tractio epiphyfysis, pars distalis radii
KNCK86	Operation m.h.p. tractio epiphyfysis, corpus ulnae et radii
KNCK87	Op. m.h.p. tractio epiphyfysis, pars distalis ulnae et radi
KNCK90	Knogleoperation, pars proximalis ulnae, anden
KNCK91	Knogleoperation, corpus ulnae, anden
KNCK92	Knogleoperation, pars distalis ulnae, anden
KNCK93	Knogleoperation, pars proximalis radii, anden
KNCK94	Knogleoperation, corpus radii, anden
KNCK95	Knogleoperation, pars distalis radii, anden
KNCK96	Knogleoperation, corpus ulnae et radii, anden
KNCK97	Knogleoperation, pars distalis ulnae et radii, anden
KNCL	Muskel- og seneoperationer ved albueled og på underarmen
KNCL04	Excisio musculi i albueregion og på underarm
KNCL09	Lysis musculi i albueregion og på underarm
KNCL19	Operat. myoplastica s. musculorapphia, albuereg. og underar
KNCL29	Transpositio musculorum i albueregion og på underarm
KNCL39	Teno/myotomi uden specifikation, albueregion og underarm
KNCL49	Tenorrhaphia s. reinsertio tendinis, albueregion og underar
KNCL59	Tenolyse/tenosynovektomi i albueregion og på underarm
KNCL69	Tenodese/op.pro elongat./abbrev.tendin.,albueled/underarm
KNCL79	Resectio tendinis i albueregion og på underarm
KNCL89	Transpositio tendinis i albueregion og på underarm
KNCL99	Muskel- og seneoperation ved albueled og på underarm, anden
KNCM	Op.på fascie,seneskede,ganglie,bursae v.albueled og underar
KNCM09	Fasciotomia på underarmen
KNCM19	Fasciectomia partialis/totalis på underarmen
KNCM29	Fasciorrhaphia antebrachii
KNCM39	Excisio ganglion synovialis, art. cubiti et antebrachii
KNCM49	Dissicio vaginae tendinis, antebrachii
KNCM59	Excisio partialis vaginae tendinis, antebrachii
KNCM79	Excisio bursae, art. cubiti
KNCM79A	Bursektomi i albue, endoskopisk
KNCM99	Op på fascie, seneskede, gangl, bursa, albue/underarm, ande
KNCN	Transplantationer til albueregion og underarm
KNCN09	Autotransplantatio ossis antebrachii
KNCN19	Allotransplantatio ossis antebrachii
KNCN29	Xenotransplantatio ossis antebrachii
KNCN39	Transplantatio tendinis antebrachii
KNCN49	Transpl. cartilaginis/periostis/fasciae antebrachii
KNCN99	Transplantation, antebrachii, anden
KNCP	Reimplantation på underarmen
KNCP29	Reimplantatio extremitas antebrachii
