AAA00  Explorativ kraniotomi
NFF39  Partiell excision av ledbrosk i h”ftled, ospecificerad
NFF90  Annan perkutan eller sluten operation p† ledhinnor eller ledytor i h”ftled
NFF91  Annan artroskopisk eller endoskopisk operation p† ledhinnor eller ledytor i h”ftled
NFF92  Annan operation p† ledhinnor eller ledytor i h”ftled
NFF99  Annan operation p† ledhinnor eller ledytor i h”ftled, ospecificerad
NFG09  Excisionsartroplastik i h”ftled
NFG19  Interpositionsartroplastik i h”ftled
NFG29  Annan artroplastik i h”ftled utan protes
NFG39  Artrodes av h”ftled utan fixationsmaterial
NFG49  Artrodes av h”ftled med intern fixation
NFG59  Artrodes av h”ftled med extern fixation
NFG99  Annan excision, rekonstruktion eller artrodes av h”ftled
NFH00  Perkutan eller sluten reposition av h”ftled
NFH01  Artroskopisk eller endoskopisk reposition av h”ftled
NFH02  ™ppen reposition av h”ftled
NFH09  Reposition av h”ftled, ospecificerad
NFH20  Perkutan eller sluten reposition av luxerad h”ftledsprotes
NFH21  Artroskopisk eller endoskopisk reposition av luxerad h”ftledsprotes
NFH22  ™ppen reposition av luxerad h”ftledsprotes
NFH29  Reposition av luxerad h”ftledsprotes, ospecificerad
NFH30  Perkutan eller sluten adherensl”sning i h”ftled
NFH31  Artroskopisk eller endoskopisk adherensl”sning i h”ftled
NFH32  ™ppen adherensl”sning i h”ftled
NFH39  Adherensl”sning i h”ftled, ospecificerad
NFH40  Perkutan eller sluten extraktion av fr„mmande eller fri kropp i h”ftled
NFH41  Artroskopisk eller endoskopisk extraktion av fr„mmande eller fri kropp i h”ftled
NFH42  ™ppen extraktion av fr„mmande eller fri kropp i h”ftled
NFH49  Extraktion av fr„mmande eller fri kropp i h”ftled, ospecificerad
NFH50  Perkutan eller sluten excision av intraartikul„r exostos eller osteofyt i h”ftled
NFH51  Artroskopisk eller endoskopisk excision av intraartikul„r exostos eller osteofyt i h”ftled
NFH52  ™ppen excision av intraartikul„r exostos eller osteofyt i h”ftled
NFH59  Excision av intraartikul„r exostos eller osteofyt i h”ftled, ospecificerad
NFH70  Perkutan eller sluten operation f”r recidiverande luxation av h”ftled
NFH71  Artroskopisk eller endoskopisk operation f”r recidiverande luxation av h”ftled
NFH72  ™ppen operation f”r recidiverande luxation av h”ftled
NFH79  Operation f”r recidiverande luxation av h”ftled, ospecificerad
NFH90  Annan perkutan eller sluten operation p† h”ftled
NFH91  Annan artroskopisk eller endoskopisk operation p† h”ftled
NFH92  Annan ”ppen operation p† h”ftled
NFH99  Annan operation p† h”ftled, ospecificerad
NFJ09  Sluten reposition av femurfraktur
NFJ19  ™ppen reposition av femurfraktur
NFJ29  Extern fixation av femurfraktur
NFJ39  Osteosyntes av femurfraktur med bioimplantat
NFJ49  Osteosyntes av femurfraktur med cerklage, collumspik, stift e d
NFJ59  Osteosyntes av femurfraktur med m„rgspik
NFJ69  Osteosyntes av femurfraktur med platta och skruvar
NFJ79  Osteosyntes av femurfraktur med skruvar enbart
NFJ89  Osteosyntes av femurfraktur med annan eller kombinerad metod
NFJ99  Annan frakturkirurgi p† femur
NFK09  Excision av benfragment p† femur
NFK19  Partiell eller total excision av ben i femur
NFK29  Fenestrering av femur
NFK39  Curettage av cysta i femur
NFK49  Epifyseodes av femur
NFK59  Vinklings-, rotations- eller f”rskjutningsosteotomi p† femur
NFK69  F”rkortnings- eller f”rl„ngningsosteotomi p† femur
NFK79  Bentransportoperation p† femur
NFK89  Epifysdistraktion p† femur
NFK99  Annan operation p† femur
NFL09  Fril„ggning av muskel i h”ft eller l†r
NFL19  Sutur eller rekonstruktion av muskel i h”ft eller l†r
NFL29  Transposition av muskel i h”ft eller l†r
NFL39  Myotomi eller tenotomi i h”ft eller l†r
NFL49  Sutur eller replantation av sena i h”ft eller l†r
NFL59  Tenolys eller tenosynovektomi i h”ft eller l†r
NFL69  Tenodes, f”rkortning eller f”rl„ngning av sena i h”ft eller l†r
NFL79  Excision av sena i h”ft eller l†r
NFL89  Transposition av sena i h”ft eller l†r
NFL99  Annan operation p† muskel eller sena i h”ft eller l†r
NFM09  Fasciotomi i h”ft eller l†r
NFM19  Partiell eller total excision av fascia i h”ft eller l†r
NFM29  Sutur av fascia i h”ft eller l†r
NFM39  Excision av ganglion i h”ft eller l†r
NFM49  Klyvning av senskida i h”ft eller l†r
NFM59  Partiell excision av senskida i h”ft eller l†r
NFM79  Excision av bursa i h”ft eller l†r
NFM99  Annan operation p† fascia eller bursa i h”ft eller l†r
NFN09  Autotransplantation av ben till femur
NFN19  Homotransplantation av ben till femur
NFN29  Heterotransplantation av ben till femur
NFN39  Transplantation av sena till h”ft eller l†r
NFN49  Transplantation av brosk, periost eller fascia till h”ft eller l†r
NFN99  Annan transplantation till h”ft eller l†r
NFP29  Replantation av extremitet i h”ft- eller l†rniv†
NFQ09  Exartikulation i h”ftled
NFQ19  Transfemoral amputation
NFQ29  Revision av exartikulations- eller amputationsstump i h”ft eller l†r
NFQ99  Annan amputation eller relaterad operation p† h”ft eller l†r
NFR09  Intralesionell excision av mjukdelstum”r i h”ft eller l†r
NFR19  Marginell excision av mjukdelstum”r i h”ft eller l†r
NFR29  Vid excision av mjukdelstum”r i h”ft eller l†r
NFR39  Kompartmentell excision av mjukdelstum”r i h”ft eller l†r
NFR49  Intralesionell excision av ben- eller brosktum”r i h”ftled eller femur
NFR59  Marginell excision av ben- eller brosktum”r i h”ftled eller femur
NFR69  Vid excision av ben- eller brosktum”r i h”ftled eller femur
NFR79  Kompartmentell excision av ben- eller brosktum”r i h”ftled eller femur
NFR99  Annan operation f”r tum”r i h”ft eller l†r
NFS09  Incision och debridering vid mjukdelsinfektion i h”ft eller l†r
NFS19  Incision och debridering vid septisk artrit h”ftled
NFS29  Incision och debridering vid osteit i femur
NFS39  Incision och debridering vid mjukdelsinfektion i h”ft eller l†r med implantation av l„kemedel
NFS49  Incision och debridering vid septisk artrit i h”ftled med implantation av l„kemedel
NFS59  Incision och debridering vid osteit i femur med implantation av l„kemedel
NFS99  Annan operationer vid infektion i h”ft eller l†r
NFT19  Mobilisering av h”ftled
NFT39  Korrektion av deformitet av h”ftled eller femur med anv„ndande av muskel, sena eller ligament
NFT49  Korrektion av deformitet av h”ftled eller femur med anv„ndande av extern eller intern fixation
NFT99  Annan operation p† h”ft eller l†r
NFU09  Extraktion av del- eller halvprotes fr†n h”ftled
NFU19  Extraktion av totalprotes fr†n h”ftled
NFU39  Extraktion av externt fixationsmaterial fr†n femur
NFU49  Extraktion av internt fixationsmaterial fr†n femur
NFU89  Extraktion av implantat f”r infektionsbehandling fr†n h”ft eller femur
NFU99  Extraktion av annat implantat fr†n h”ftled eller femur
NFW49  Sutur av s†rruptur i h”ft eller l†r
NFW59  Reoperation f”r ytlig infektion i h”ft eller l†r
NFW69  Reoperation f”r djup infektion i h”ft eller l†r
NFW79  Reoperation f”r ytlig bl”dning i h”ft eller l†r
NFW89  Reoperation f”r djup bl”dning i h”ft eller l†r
NFW99  Annan reoperation p† h”ft eller l†r
NGA00  Perkutan eller sluten exploration av mjukdelar i kn„ eller underben
NGA01  Artroskopisk eller endoskopisk exploration av mjukdelar i kn„ eller underben
NGA02  ™ppen exploration av mjukdelar i kn„ eller underben
NGA09  Exploration av mjukdelar i kn„ eller underben, ospecificerad
NGA10  Perkutan eller sluten exploration av kn„led
NGA11  Artroskopisk eller endoskopisk exploration av kn„led
NGA12  ™ppen exploration av kn„led
NGA19  Exploration av kn„led, ospecificerad
NGA20  Perkutan eller sluten biopsi av mjukdelar eller led i kn„ eller underben
NGA21  Artroskopisk eller endoskopisk biopsi av mjukdelar eller led i kn„ eller underben
NGA22  ™ppen biopsi av mjukdelar eller led i kn„ eller underben
NGA29  Biopsi av mjukdelar eller led i kn„ eller underben, ospecificerad
NGA30  Perkutan eller sluten benbiopsi av kn„ eller underben
NGA31  Artroskopisk eller endoskopisk benbiopsi av kn„ eller underben
NGA32  ™ppen benbiopsi av kn„ eller underben
NGA39  Benbiopsi av kn„ eller underben, ospecificerad
NGB09  Prim„r halv- eller delprotes i kn„led utan cement
NGB19  Prim„r halv- eller delprotes i kn„led med cement
NGB29  Prim„r totalprotes i kn„led utan cement
NGB39  Prim„r totalprotes i kn„led med hybridteknik
NGB49  Prim„r totalprotes i kn„led med cement
NGB53  Prim„r patellofemoral protes
NGB59  Kompletterande prim„r patellaprotes
NGB99  Annan prim„r ledprotesoperation i kn„led
NGC09  Sekund„r halv- eller delprotes i kn„led utan cement
NGC19  Sekund„r halv- eller delprotes i kn„led med cement
NGC29  Sekund„r totalprotes i kn„led utan cement
NGC39  Sekund„r totalprotes i kn„led med hybridteknik
NGC49  Sekund„r totalprotes i kn„led med cement
NGC53  Sekund„r patellofemoral protes
NGC59  Sekund„r patellaprotes
NGC99  Annan sekund„r ledprotesoperation i kn„led
NGD00  Perkutan eller sluten total excision av menisk i kn„led
NGD01  Artroskopisk eller endoskopisk total excision av menisk i kn„led
NGD02  ™ppen total excision av menisk i kn„led
NGD09  Total excision av menisk i kn„led, ospecificerad
NGD10  Perkutan eller sluten partiell excision av menisk i kn„led
NGD11  Artroskopisk eller endoskopisk partiell excision av menisk i kn„led
NGD12  ™ppen partiell excision av menisk i kn„led
NGD19  Partiell excision av menisk i kn„led, ospecificerad
NGD20  Perkutan eller sluten replantation av menisk i kn„led
NGD21  Artroskopisk eller endoskopisk replantation av menisk i kn„led
NGD22  ™ppen replantation av menisk i kn„led
NGD29  Replantation av menisk i kn„led, ospecificerad
NGD90  Annan perkutan eller sluten operation p† menisk i kn„led
NGD91  Annan artroskopisk eller endoskopisk operation p† menisk i kn„led
NGD92  Annan ”ppen operation p† menisk i kn„led
NGD99  Annan operation p† menisk i kn„led, ospecificerad
NGE00  Perkutan eller sluten incision eller sutur av ledkapsel i kn„led
NGE01  Artroskopisk eller endoskopisk incision eller sutur av ledkapsel i kn„led
NGE02  ™ppen incision eller sutur av ledkapsel i kn„led
NGE09  Incision eller sutur av ledkapsel i kn„led, ospecificerad
NGE10  Perkutan eller sluten transcision eller excision av ligament i kn„led
NGE11  Artroskopisk eller endoskopisk transcision eller excision av ligament i kn„led
NGE12  ™ppen transcision eller excision av ligament i kn„led
NGE19  Transcision eller excision av ligament i kn„led, ospecificerad
NGE20  Perkutan eller sluten sutur eller replantation av ligament i kn„led
NGE21  Artroskopisk eller endoskopisk sutur eller replantation av ligament i kn„led
NGE22  ™ppen sutur eller replantation av ligament i kn„led
NGE29  Sutur eller replantation av ligament i kn„led, ospecificerad
NGE30  Perkutan eller sluten transposition av ligament i kn„led
NGE31  Artroskopisk eller endoskopisk transposition av ligament i kn„led
NGE32  ™ppen transposition av ligament i kn„led
NGE39  Transposition av ligament i kn„led, ospecificerad
NGE40  Perkutan eller sluten rekonstruktion av ligament i kn„led utan fr„mmande material
NGE41  Artroskopisk eller endoskopisk rekonstruktion av ligament i kn„led utan fr„mmande material
NGE42  ™ppen rekonstruktion av ligament i kn„led utan fr„mmande material
NGE49  Rekonstruktion av ligament i kn„led utan fr„mmande material, ospecificerad
NGE50  Perkutan eller sluten rekonstruktion av ligament i kn„led med fr„mmande material
NGE51  Artroskopisk eller endoskopisk rekonstruktion av ligament i kn„led med fr„mmande material
NGE52  ™ppen rekonstruktion av ligament i kn„led med fr„mmande material
NGE59  Rekonstruktion av ligament i kn„led med fr„mmande material, ospecificerad
NGE90  Annan perkutan eller sluten operation p† ledkapsel eller ligament i kn„led
NGE91  Annan artroskopisk eller endoskopisk operation p† ledkapsel eller ligament i kn„led
NGE92  Annan ”ppen operation p† ledkapsel eller ligament i kn„led
NGE99  Annan operation p† ledkapsel eller ligament i kn„led, ospecificerad
NGF00  Perkutan eller sluten total synovektomi i kn„led
NGF01  Artroskopisk eller endoskopisk total synovektomi i kn„led
NGF02  ™ppen total synovektomi i kn„led
NGF09  Total synovektomi i kn„led, ospecificerad
NGF10  Perkutan eller sluten partiell synovektomi i kn„led
NGF11  Artroskopisk eller endoskopisk partiell synovektomi i kn„led
NGF12  ™ppen partiell synovektomi i kn„led
NGF19  Partiell synovektomi i kn„led, ospecificerad
NGF20  Fixation av ledytefragment i kn„led, perkutan eller sluten
NGF21  Fixation av ledytefragment i kn„led, artroskopisk eller endoskopisk
NGF22  Fixation av ledytefragment i kn„led, ”ppen
NGF29  Fixation av ledytefragment i kn„led, ospecificerad
NGF30  Perkutan eller sluten partiell excision av ledbrosk i kn„led
NGF31  Artroskopisk eller endoskopisk partiell excision av ledbrosk i kn„led
NGF32  ™ppen partiell excision av ledbrosk i kn„led
NGF39  Partiell excision av ledbrosk i kn„led, ospecificerad
NGF90  Annan perkutan eller sluten operation p† ledhinnor eller ledytor i kn„led
NGF91  Annan artroskopisk eller endoskopisk operation p† ledhinnor eller ledytor i kn„led
NGF92  Annan ”ppen operation p† ledhinnor eller ledytor i kn„led
NGF99  Annan operation p† ledhinnor eller ledytor i kn„led, ospecificerad
NGG09  Excisionsartroplastik i kn„led
NGG19  Interpositionsartroplastik i kn„led
NGG29  Annan artroplastik i kn„led utan protes
NGG39  Artrodes av kn„led utan fixationsmaterial
NGG49  Artrodes av kn„led med intern fixation
NGG59  Artrodes av kn„led med extern fixation
NGG99  Annan excision, rekonstruktion eller artrodes i kn„led
NGH00  Perkutan eller sluten reposition av kn„ledsluxation
NGH01  Artroskopisk eller endoskopisk reposition av kn„ledsluxation
NGH02  ™ppen reposition av kn„ledsluxation
NGH09  Reposition av kn„ledsluxation, ospecificerad
NGH10  Perkutan eller sluten reposition av patellarluxation
NGH11  Artroskopisk eller endoskopisk reposition av patellarluxation
NGH12  ™ppen reposition av patellarluxation
NGH19  Reposition av patellarluxation, ospecificerad
NGH20  Perkutan eller sluten reposition av luxerad kn„ledprotes
NGH21  Artroskopisk eller endoskopisk reposition av luxerad kn„ledprotes
