AA0 27	Innlegging av intracerebral trykkmåler
NBJ 31	Osteosyntese av humerusfraktur med bioimplantat
NBJ 32	Osteosyntese av claviculafraktur med bioimplantat
NBJ 33	Osteosyntese av scapulafraktur med bioimplantat
NBJ 41	Osteosyntese av humerusfraktur med metalltråd, cerclage eller pinne
NBJ 42	Osteosyntese av claviculafraktur med metalltråd, cerclage eller pinne
NBJ 43	Osteosyntese av scapulafraktur med metalltråd, cerclage eller pinne
NBJ 51	Osteosyntese av humerusfraktur med margnagle
NBJ 61	Osteosyntese av humerusfraktur med plate og skruer
NBJ 62	Osteosyntese av claviculafraktur med plate og skruer
NBJ 63	Osteosyntese av scapulafraktur med plate og skruer
NBJ 71	Osteosyntese av humerusfraktur med skruer
NBJ 72	Osteosyntese av claviculafraktur med skruer
NBJ 73	Osteosyntese av scapulafraktur med skruer
NBJ 81	Osteosyntese av humerusfraktur med annet eller kombinert materiale
NBJ 82	Osteosyntese av claviculafraktur med annet eller kombinert materiale
NBJ 83	Osteosyntese av scapulafraktur med annet eller kombinert materiale
NBJ 91	Annen operativ bruddbehandling i humerus
NBJ 92	Annen operativ bruddbehandling i clavicula
NBJ 93	Annen operativ bruddbehandling i scapula
NBK 01	Eksisjon av beinfragment i humerus
NBK 02	Eksisjon av beinfragment i clavicula
NBK 03	Eksisjon av beinfragment i scapula
NBK 11	Reseksjon eller eksisjon av humerus
NBK 12	Reseksjon eller eksisjon av clavicula
NBK 13	Reseksjon eller eksisjon av scapula
NBK 21	Fenestrasjon eller oppboring av humerus
NBK 22	Fenestrasjon eller oppboring av clavicula
NBK 23	Fenestrasjon eller oppboring av scapula
NBK 31	Utskraping av cyste i humerus
NBK 32	Utskraping av cyste i clavicula
NBK 33	Utskraping av cyste i scapula
NBK 41	Epifysiodese i humerus
NBK 42	Epifysiodese i clavicula
NBK 43	Epifysiodese i scapula
NBK 51	Osteotomi i humerus med aksekorreksjon, rotasjon eller forskyvning
NBK 52	Osteotomi i clavicula med aksekorreksjon, rotasjon eller forskyvning
NBK 53	Osteotomi i scapula med aksekorreksjon, rotasjon eller forskyvning
NBK 61	Osteotomi i humerus med forkorting eller forlengelse
NBK 62	Osteotomi i clavicula med forkorting eller forlengelse
NBK 63	Osteotomi i scapula med forkorting eller forlengelse
NBK 71	Beintransportoperasjon i humerus
NBK 72	Beintransportoperasjon i clavicula
NBK 73	Beintransportoperasjon i scapula
NBK 81	Epifysedistraksjon på humerus
NBK 91	Annen operasjon på bein i humerus
NBK 92	Annen operasjon på bein i clavicula
NBK 93	Annen operasjon på bein i scapula
NBL 09	Frilegging av muskel i skulder eller overarm
NBL 19	Sutur eller rekonstruksjon av muskel i skulder eller overarm
NBL 29	Transposisjon av muskel i skulder eller overarm
NBL 39	Myotomi eller tenotomi i skulder eller overarm
NBL 49	Sutur eller reinserering av sene i skulder eller overarm
NBL 59	Tenolyse eller tenosynovektomi i skulder eller overarm
NBL 69	Tenodese, forkorting eller forlengelse av sene i skulder eller overarm
NBL 79	Eksisjon av sene i skulder eller overarm
NBL 89	Transposisjon av sene i skulder eller overarm
NBL 99	Annen operasjon på muskel eller sene i skulder eller overarm
NBM 09	Fasciotomi i skulder eller overarm
NBM 19	Reseksjon eller eksisjon av fascie i skulder eller overarm
NBM 29	Sutur av fascie i skulder eller overarm
NBM 79	Eksisjon av bursa i skulder eller overarm
NBM 99	Annen operasjon på fascie, ganglion eller bursa i skulder eller overarm
NBN 09	Autotransplantasjon av bein i skulder eller overarm
NBN 19	Allotransplantasjon av bein i skulder eller overarm
NBN 29	Xenotransplantasjon av bein i skulder eller overarm
NBN 39	Transplantasjon av sene i skulder eller overarm
NBN 49	Transplantasjon av brusk, periost eller fascie i skulder eller overarm
NBN 99	Annen transplantasjon i skulder eller overarm
NBP 29	Replantasjon av overekstremitet ovenfor albuen
NBQ 01	Intertorakoskapulær amputasjon
NBQ 02	Humeroskapulær amputasjon
NBQ 03	Amputasjon eller eksartikulasjon i overarm eller skulder
NBQ 09	Annen amputasjon eller eksartikulasjon i skulder eller overarm
NBQ 29	Revisjon av amputasjons- eller eksartikulasjonsstump i skulder eller overarm
NBQ 99	Annen amputasjon eller tilhørende operasjon i skulder eller overarm
NBR 09	Reseksjon av bløtdelstumor i skulder eller overarm
NBR 19	Marginal eksisjon av bløtdelstumor i skulder eller overarm
NBR 29	Vid eksisjon av bløtdelstumor i skulder eller overarm
NBR 39	Kompartmentell eksisjon av bløtdelstumor i skulder eller overarm
NBR 49	Reseksjon av bein- eller brusktumor i skulder eller overarm
NBR 59	Marginal eksisjon av bein- eller brusktumor i skulder eller overarm
NBR 69	Vid eksisjon av bein- eller brusktumor i skulder eller overarm
NBR 79	Kompartmentell eksisjon av bein- eller brusktumor i skulder eller overarm
NBR 99	Annen operasjon for tumor i skulder eller overarm
NBS 09	Incisjon og revisjon ved infeksjon i sene i skulder eller overarm
NBS 19	Incisjon og revisjon ved infeksjon i skulderledd
NBS 29	Incisjon og revisjon ved infeksjon i bein i skulder eller overarm
NBS 39	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i sene i skulder eller overarm
NBS 49	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i skulderledd
NBS 59	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i bein i skulder eller overarm
NBS 99	Annen operasjon for infeksjon i sene, ledd eller bein i skulder eller overarm
NBT 19	Mobilisering av humeroscapularledd
NBT 39	Korreksjon av deformitet i skulder eller overarm med muskel, sene eller ligament
NBT 49	Korreksjon av deformitet i skulder eller overarm med ekstern eller intern fiksasjon
NBT 99	Annen operasjon på skulder eller overarm
NBU 01	Fjerning av proksimal delprotese fra humeroscapularledd
NBU 02	Fjerning av distal delprotese fra humeroscapularledd
NBU 10	Fjerning av totalprotese fra humeroscapularledd
NBU 11	Fjerning av proksimal del av totalprotese fra humeroscapularledd
NBU 12	Fjerning av distal del av totalprotese fra humeroscapularledd
NBU 39	Fjerning av eksternt fiksasjonsutstyr fra skulder eller overarm
NBU 49	Fjerning av osteosyntesemateriale fra skulder eller overarm
NBU 69	Fjerning av ligamentprotese fra skulder eller overarm
NBU 89	Fjerning av terapeutisk substans etter infeksjonsbehandling i skulder eller overarm
NBU 99	Fjerning av annet implantat fra skulder eller overarm
NBW 49	Reoperasjon for sårruptur i skulder eller overarm
NBW 59	Reoperasjon for overfladisk infeksjon i skulder eller overarm
NBW 69	Reoperasjon for dyp infeksjon i skulder eller overarm
NBW 79	Reoperasjon for overfladisk blødning i skulder eller overarm
NBW 89	Reoperasjon for dyp blødning i skulder eller overarm
NBW 99	Annen reoperasjon på skulder eller overarm
NCA 00	Perkutan eksplorasjon av bløtdeler i albue eller underarm
NCA 02	Åpen eksplorasjon av bløtdeler i albue eller underarm
NCA 10	Perkutan eksplorasjon av ledd i albue eller underarm
NCA 11	Artroskopi i albueledd
NCA 12	Artrotomi i albueledd
NCA 20	Perkutan biopsi av bløtdeler eller ledd i albue eller underarm
NCA 21	Endoskopisk biopsi av bløtdeler eller ledd i albue eller underarm
NCA 22	Åpen biopsi av bløtdeler eller ledd i albue eller underarm
NCA 30	Perkutan biopsi av bein i albue eller underarm
NCA 32	Åpen biopsi av bein i albue eller underarm
NCB 01	Implantasjon av proksimal primær delprotese i albueledd uten sement
NCB 02	Implantasjon av distal primær delprotese i albueledd uten sement
NCB 04	Implantasjon av to distale eller en proksimal og en distal primær delprotese i albueledd uten sement
NCB 11	Implantasjon av proksimal primær delprotese i albueledd med sement
NCB 12	Implantasjon av distal primær delprotese i albueledd med sement
NCB 14	Implantasjon av to distale eller en proksimal og en distal primær delprotese i albueledd med sement
NCB 20	Implantasjon av primær totalprotese i albueledd uten sement
NCB 30	Implantasjon av primær totalprotese i albueledd med hybrid teknikk
NCB 40	Implantasjon av primær totalprotese i albueledd med sement
NCB 59	Implantasjon av primær interposisjonsprotese i albueledd
NCB 99	Annen implantasjon av primær protese i albueledd
NCC 01	Implantasjon av proksimal sekundær delprotese i albueledd uten sement
NCC 02	Implantasjon av distal sekundær delprotese i albueledd uten sement
NCC 04	Implantasjon av to distale eller en proksimal og en distal sekundær delprotese i albueledd uten sement
NCC 11	Implantasjon av proksimal sekundær delprotese i albueledd med sement
NCC 12	Implantasjon av distal sekundær delprotese i albueledd med sement
NCC 14	Implantasjon av to distale eller en proksimal og en distal sekundær delprotese i albueledd med sement
NCC 20	Implantasjon av sekundær totalprotese i albueledd uten sement
NCC 21	Implantasjon av proksimal del av sekundær totalprotese i albueledd uten sement
NCC 22	Implantasjon av distal del av sekundær totalprotese i albueledd uten sement
NCC 24	Implantasjon av to distale eller en proksimal og en distal del av sekundær totalprotese i albueledd uten sement
NCC 30	Implantasjon av sekundær totalprotese i albueledd med hybrid teknikk
NCC 31	Implantasjon av proksimal del av sekundær totalprotese i albueledd med hybrid teknikk
NCC 32	Implantasjon av distal del av sekundær totalprotese i albueledd med hybrid teknikk
NCC 34	Implantasjon av to distale eller en proksimal og en distal del av sekundær totalprotese i albueledd med hybrid teknikk
NCC 40	Implantasjon av sekundær totalprotese i albueledd med sement
NCC 41	Implantasjon av proksimal del av sekundær totalprotese i albueledd med sement
NCC 42	Implantasjon av distal del av sekundær totalprotese i albueledd med sement
NCC 44	Implantasjon av to distale eller en proksimal og en distal del av sekundær totalprotese i albueledd med sement
NCC 59	Implantasjon av sekundær interposisjonsprotese i albueledd
NCC 99	Annen implantasjon av sekundær protese i albueledd
NCE 01	Endoskopisk incisjon eller sutur av leddkapsel i albue
NCE 02	Åpen incisjon eller sutur av leddkapsel i albue
NCE 12	Deling eller eksisjon av ligament i albue
NCE 22	Sutur eller reinserering av ligament i albue
NCE 32	Transposisjon av ligament i albue
NCE 42	Rekonstruksjon av ligament i albue uten protesemateriale
NCE 59	Rekonstruksjon av ligament i albue med protesemateriale
NCE 99	Annen operasjon på leddkapsel eller ligament i albue
NCF 01	Endoskopisk total synovektomi i albue
NCF 02	Åpen total synovektomi i albue
NCF 11	Endoskopisk partiell synovektomi i albue
NCF 12	Åpen partiell synovektomi i albue
NCF 21	Endoskopisk fiksasjon av leddflatefragment i albue
NCF 22	Åpen fiksasjon av leddflatefragment i albue
NCF 31	Endoskopisk reseksjon av leddbrusk i albue
NCF 32	Åpen reseksjon av leddbrusk i albue
NCF 91	Annen endoskopisk operasjon på synovialhinne eller leddflate i albue
NCF 92	Annen åpen operasjon på synovialhinne eller leddflate i albue
NCG 09	Eksisjonsartroplastikk i albueledd
NCG 19	Interposisjonsartroplastikk i albueledd
NCG 29	Annen artroplastikk uten protese i albueledd
NCG 39	Artrodese i albueledd uten fiksasjon
NCG 49	Artrodese i albueledd med intern fiksasjon
NCG 59	Artrodese i albueledd med ekstern fiksasjon
NCG 99	Annen eksisjon, rekonstruksjon eller artrodese i albueledd
NCH 00	Lukket reposisjon av albueluksasjon
NCH 02	Åpen reposisjon av albueluksasjon
NCH 20	Lukket reposisjon av proteseluksasjon i albueledd
NCH 22	Åpen reposisjon av proteseluksasjon i albueledd
NCH 31	Endoskopisk adheranseløsning i albueledd
NCH 32	Åpen adheranseløsning i albueledd
NCH 40	Lukket fjerning av fremmed eller fritt legeme fra albueledd
NCH 41	Endoskopisk fjerning av fremmed eller fritt legeme fra albueledd
NCH 42	Åpen fjerning av fremmed eller fritt legeme fra albueledd
NCH 51	Endoskopisk eksisjon av intraartikulær eksostose eller osteofytt i albueledd
NCH 52	Åpen eksisjon av intraartikulær eksostose eller osteofytt i albueledd
NCH 72	Operasjon for habituell albueluksasjon
NCH 90	Annen lukket operasjon på albueledd
NCH 91	Annen endoskopisk operasjon på albueledd
NCH 92	Annen åpen operasjon på albueledd
NCJ 00	Lukket reposisjon av proksimal ulnafraktur
NCJ 01	Lukket reposisjon av skaftfraktur av ulna
NCJ 02	Lukket reposisjon av distal ulnafraktur
NCJ 03	Lukket reposisjon av proksimal radiusfraktur
NCJ 04	Lukket reposisjon av skaftfraktur av radius
NCJ 05	Lukket reposisjon av distal radiusfraktur
NCJ 06	Lukket reposisjon av skaftfraktur av radius og ulna
NCJ 07	Lukket reposisjon av distal fraktur av radius og ulna
NCJ 08	Lukket reposisjon av annen fraktur av ulna eller radius
NCJ 10	Åpen reposisjon av proksimal ulnafraktur
NCJ 11	Åpen reposisjon av skaftfraktur av ulna
NCJ 12	Åpen reposisjon av distal ulnafraktur
NCJ 13	Åpen reposisjon av proksimal radiusfraktur
NCJ 14	Åpen reposisjon av skaftfraktur av radius
NCJ 15	Åpen reposisjon av distal radiusfraktur
NCJ 16	Åpen reposisjon av skaftfraktur av radius og ulna
NCJ 17	Åpen reposisjon av distal fraktur av radius og ulna
NCJ 18	Åpen reposisjon av annen fraktur av ulna eller radius
NCJ 20	Ekstern fiksasjon av proksimal ulnafraktur
NCJ 21	Ekstern fiksasjon av skaftfraktur av ulna
NCJ 22	Ekstern fiksasjon av distal ulnafraktur
NCJ 23	Ekstern fiksasjon av proksimal radiusfraktur
NCJ 24	Ekstern fiksasjon av skaftfraktur av radius
NCJ 25	Ekstern fiksasjon av distal radiusfraktur
NCJ 26	Ekstern fiksasjon av skaftfraktur av radius og ulna
NCJ 27	Ekstern fiksasjon av distal fraktur av radius og ulna
NCJ 28	Ekstern fiksasjon av annen fraktur av ulna eller radius
NCJ 30	Osteosyntese proksimal ulnafraktur av med bioimplantat
NCJ 31	Osteosyntese av skaftfraktur av ulna med bioimplantat
NCJ 32	Osteosyntese av distal ulnafraktur med bioimplantat
NCJ 33	Osteosyntese av proksimal radiusfraktur med bioimplantat
NCJ 34	Osteosyntese av skaftfraktur av radius med bioimplantat
NCJ 35	Osteosyntese av distal radiusfraktur med bioimplantat
NCJ 36	Osteosyntese av skaftfraktur av radius og ulna med bioimplantat
NCJ 37	Osteosyntese av distal fraktur av radius og ulna med bioimplantat
NCJ 38	Osteosyntese av annen fraktur av ulna eller radius med bioimplantat
NCJ 40	Osteosyntese av proksimal ulnafraktur med metalltråd, cerclage eller pinne
NCJ 41	Osteosyntese av skaftfraktur av ulna med metalltråd, cerclage eller pinne
NCJ 42	Osteosyntese av distal ulnafraktur med metalltråd, cerclage eller pinne
NCJ 43	Osteosyntese av proksimal radiusfraktur med metalltråd, cerclage eller pinne
NCJ 44	Osteosyntese av skaftfraktur av radius med metalltråd, cerclage eller pinne
NCJ 45	Osteosyntese av distal radiusfraktur med metalltråd, cerclage eller pinne
NCJ 46	Osteosyntese av skaftfraktur av radius og ulna med metalltråd, cerclage eller pinne
NCJ 47	Osteosyntese av distal fraktur av radius og ulna med metalltråd, cerclage eller pinne
NCJ 48	Osteosyntese av annen fraktur av ulna eller radius med metalltråd, cerclage eller pinne
NCJ 50	Osteosyntese av proksimal ulnafraktur med margnagle
NCJ 51	Osteosyntese av skaftfraktur av ulna med margnagle
NCJ 52	Osteosyntese av distal ulnafraktur med margnagle
NCJ 53	Osteosyntese av proksimal radiusfraktur med margnagle
NCJ 54	Osteosyntese av skaftfraktur av radius med margnagle
NCJ 55	Osteosyntese av distal radiusfraktur med margnagle
NCJ 56	Osteosyntese av skaftfraktur av radius og ulna med margnagle
NCJ 57	Osteosyntese av distal fraktur av radius og ulna med margnagle
NCJ 58	Osteosyntese av annen fraktur av ulna eller radius med margnagle
NCJ 60	Osteosyntese proksimal ulnafraktur av med plate og skruer
NCJ 61	Osteosyntese skaftfraktur av ulna av med plate og skruer
NCJ 62	Osteosyntese av distal ulnafraktur med plate og skruer
NCJ 63	Osteosyntese av proksimal radiusfraktur med plate og skruer
NCJ 64	Osteosyntese av skaftfraktur av radius med plate og skruer
NCJ 65	Osteosyntese av distal radiusfraktur med plate og skruer
NCJ 66	Osteosyntese av skaftfraktur av radius og ulna med plate og skruer
NCJ 67	Osteosyntese av distal fraktur av radius og ulna med plate og skruer
NCJ 68	Osteosyntese av annen fraktur av ulna eller radius med plate og skruer
NCJ 70	Osteosyntese av proksimal ulnafraktur med skruer
NCJ 71	Osteosyntese av skaftfraktur av ulna med skruer
NCJ 72	Osteosyntese av distal ulnafraktur med skruer
NCJ 73	Osteosyntese av proksimal radiusfraktur med skruer
NCJ 74	Osteosyntese av skaftfraktur av radius med skruer
NCJ 75	Osteosyntese av distal radiusfraktur med skruer
NCJ 76	Osteosyntese av skaftfraktur av radius og ulna med skruer
NCJ 77	Osteosyntese av distal fraktur av radius og ulna med skruer
NCJ 78	Osteosyntese av annen fraktur av ulna eller radius med skruer
NCJ 80	Osteosyntese av proksimal ulnafraktur med annet eller kombinert materiale
NCJ 81	Osteosyntese av skaftfraktur av ulna med annet eller kombinert materiale
NCJ 82	Osteosyntese av distal ulnafraktur med annet eller kombinert materiale
NCJ 83	Osteosyntese av proksimal radiusfraktur med annet eller kombinert materiale
NCJ 84	Osteosyntese av skaftfraktur av radius med annet eller kombinert materiale
NCJ 85	Osteosyntese av distal radiusfraktur med annet eller kombinert materiale
NCJ 86	Osteosyntese av skaftfraktur av radius og ulna med annet eller kombinert materiale
NCJ 87	Osteosyntese av distal fraktur av radius og ulna med annet eller kombinert materiale
NCJ 88	Osteosyntese av annen fraktur av ulna eller radius med annet eller kombinert materiale
NCJ 90	Annen osteosyntese av proksimal ulnafraktur
NCJ 91	Annen osteosyntese av skaftfraktur av ulna
NCJ 92	Annen osteosyntese av distal ulnafraktur
NCJ 93	Annen osteosyntese av proksimal radiusfraktur
NCJ 94	Annen osteosyntese av skaftfraktur av radius
NCJ 95	Annen osteosyntese av distal radiusfraktur
NCJ 96	Annen osteosyntese av skaftfraktur av radius og ulna
NCJ 97	Annen osteosyntese av distal fraktur av radius og ulna
NCJ 98	Annen osteosyntese av annen fraktur av ulna eller radius
NCK 00	Eksisjon av beinfragment i proksimale ulna
NCK 01	Eksisjon av beinfragment i skaftdelen av ulna
NCK 02	Eksisjon av beinfragment i distale ulna
NCK 03	Eksisjon av beinfragment i proksimale radius
NCK 04	Eksisjon av beinfragment i skaftdelen av radius
NCK 05	Eksisjon av beinfragment i distale radius
NCK 06	Eksisjon av beinfragment i skaftdelen av ulna og radius
NCK 07	Eksisjon av beinfragment i distale radius og ulna
NCK 08	Eksisjon av beinfragment i annen del av ulna eller radius
NCK 10	Reseksjon eller eksisjon av proksimale ulna
NCK 11	Reseksjon eller eksisjon av skaftdelen av ulna
NCK 12	Reseksjon eller eksisjon av distale ulna
